Town,Total,White,Black / African American,American Indian / Alaska Native,Asian,Hispanic,Native Hawaiian / Pacific Islander,Some other race,Two or more races,Male,Female,Under 5 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median Age,Population in Households,Population in Group Quarters,Total Lang,Speak only English,Speak some other language,"Speak English ""very well""","Speak English ""well""","Speak English ""not well""","Speak English ""not at all""",Total MF,Male,Female,Working,Drove Alone,Carpooled,Bus or Trolley Bus,Streetcar or Trolley Car,Subway or Elevated,Railroad,Ferryboat,Taxicab,Motorcycle,Bicycle,  Walked,Other Means,Worked at Home,Mean Travel Time to Work (min),Total households,Average household size,1 Person Household,2 Person Household,3 Person Household,4 Person Household,5 Person Household,6 Person Household,7+ Person Household,Average Vehicles per Household,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 vehicles available,5 or more vehicles available,Median household income ($),"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 and up"
Cambridge,105162,65259,11589,159,15818,7974,31,575,3757,51109,54053,4526,7502,21855,30166,12543,9338,9244,5496,4492,30,88060,17102,100636,69006,31630,23465,4971,2408,786,91509,44498,47011,56912,17461,2630,4517,390,10623,443,0,157,94,3868,12902,363,3464,24.3,44032,2,17933,15311,6035,3182,1069,323,179,0.91,14093,21471,7209,937,161,161,64865,3971,4357,3474,2943,2956,3042,3840,4947,4115,2639,3515,4233
Canton,21561,17951,1301,17,1312,596,1,81,302,10198,11363,1204,3874,1345,2209,3021,3494,2795,1647,1972,42,21243,318,20357,17465,2892,2026,547,262,57,16752,7599,9153,9826,7810,511,79,35,215,761,0,11,0,0,60,12,332,31.4,8378,2.54,2261,2578,1433,1323,546,181,56,1.78,471,2789,3647,1123,270,78,89705,462,490,475,459,655,364,556,1309,1024,769,894,921
Carlisle,4852,4257,14,1,380,100,1,10,89,2416,2436,197,1135,223,184,517,1073,898,404,221,47,4852,0,4655,3904,751,633,34,44,40,3489,1760,1729,1969,1438,131,33,0,0,62,0,0,0,10,27,0,268,29.9,1695,2.86,195,626,334,345,153,36,6,2.36,18,238,843,395,112,89,155000,37,89,79,24,28,35,80,158,138,146,225,656
Carver,11509,10922,132,18,46,129,1,84,177,5610,5899,590,2011,864,1104,1650,1852,1709,924,805,42,11504,5,10919,10599,320,184,79,56,1,9219,4339,4880,5739,4925,534,18,0,11,15,0,0,0,0,37,59,140,30,4297,2.68,935,1480,682,694,331,118,57,1.95,140,1205,1989,721,179,63,71112,203,250,371,318,451,278,411,723,543,405,245,99
Charlemont,1266,1208,2,5,11,12,0,1,27,625,641,52,186,96,109,160,234,214,126,89,47,1265,1,1214,1189,25,9,16,0,0,1044,501,543,613,484,83,0,0,0,0,0,0,0,0,22,10,14,29.3,561,2.25,173,208,82,71,18,7,2,1.77,31,209,217,77,17,10,59063,19,68,49,53,69,25,94,81,72,22,3,6
Chatham,6125,5811,81,15,36,108,0,16,58,2899,3226,163,586,224,394,526,781,1143,1105,1203,59,6022,103,5962,5666,296,247,34,15,0,5440,2598,2842,2785,2026,303,18,0,0,0,0,11,6,25,96,57,243,22.1,3085,1.95,1127,1383,294,191,69,15,6,1.74,72,1191,1432,271,92,27,65990,160,105,177,295,344,291,344,387,281,178,228,295
Chelmsford,33802,29455,338,30,2837,686,2,40,414,16367,17435,1767,6033,1998,3295,4806,5960,4476,2894,2573,43,33672,130,32035,28134,3901,2788,727,331,55,26354,12646,13708,16710,14336,1002,54,0,33,300,0,71,8,23,111,48,724,27,13313,2.53,3391,4366,2214,2235,814,203,90,1.87,608,4013,6123,1900,418,251,92550,407,878,736,839,809,835,1121,1466,2103,1369,1665,1085
Cheshire,3235,3139,14,5,12,35,0,1,29,1636,1599,137,473,223,280,440,603,550,295,234,46,3235,0,3098,3011,87,46,41,0,0,2779,1443,1336,1954,1704,158,0,0,0,0,0,0,9,0,53,0,30,22.8,1403,2.31,370,582,211,157,66,12,5,2.02,46,402,581,273,57,44,57419,80,121,135,138,99,170,228,175,49,106,58,44
Chester,1337,1313,1,0,2,15,0,0,6,686,651,62,225,91,119,172,266,216,107,79,45,1337,0,1275,1254,21,21,0,0,0,1047,496,551,639,539,77,0,0,0,0,0,0,0,0,11,0,12,39.3,543,2.46,140,181,109,71,31,9,2,1.93,11,176,216,123,14,3,55208,24,56,60,23,77,47,46,112,68,13,7,10
Chesterfield,1222,1189,1,1,5,18,1,0,7,623,599,40,194,77,122,155,241,230,97,66,46,1222,0,1182,1142,40,38,2,0,0,874,451,423,590,521,33,0,0,0,0,0,0,0,0,2,10,24,31.5,511,2.39,120,210,81,69,24,6,1,2.1,17,120,222,114,24,14,58750,16,21,49,46,72,65,68,67,44,36,15,12
Chilmark,866,830,15,2,2,7,0,1,9,439,427,36,120,33,76,90,137,175,98,101,51,861,5,830,806,24,24,0,0,0,763,368,395,410,326,8,0,0,0,0,0,0,13,0,20,0,43,15.6,398,2.16,126,161,56,37,12,5,1,1.95,4,92,226,72,3,1,72917,37,5,45,46,13,22,34,55,21,41,21,58
Clarksburg,1702,1668,3,0,2,16,0,0,13,874,828,76,302,108,142,219,298,257,159,141,45,1698,4,1626,1576,50,39,3,8,0,1505,740,765,883,732,71,0,0,0,0,0,0,3,0,20,36,21,20.2,675,2.52,137,280,108,97,35,15,3,1.93,26,195,306,113,20,15,52054,28,53,60,75,101,95,60,112,75,9,5,2
Cohasset,7542,7254,20,8,71,96,1,11,81,3703,3839,455,1766,327,364,1037,1366,1018,550,659,44,7464,78,7087,6772,315,254,24,36,1,5523,2795,2728,3143,2233,125,4,0,21,161,237,0,0,0,67,21,274,37.3,2722,2.74,619,827,411,482,295,71,17,2.03,54,606,1445,462,127,28,114214,84,107,124,128,95,100,210,368,230,320,147,809
Colrain,1671,1601,7,1,13,13,0,5,31,864,807,63,254,136,169,180,337,282,140,110,46,1671,0,1608,1564,44,21,20,0,3,1477,796,681,1006,806,88,0,0,0,0,0,0,0,6,37,8,61,30.7,683,2.45,181,242,115,80,53,8,4,2.12,21,159,292,156,42,13,58611,11,68,47,99,71,50,127,96,60,18,9,27
Concord,17668,15402,648,8,708,655,0,32,215,8961,8707,748,3238,838,1261,2141,3300,2596,1577,1969,47,15970,1698,16920,15035,1885,1496,284,72,33,13874,7412,6462,7430,5278,670,61,0,81,363,0,0,0,25,359,22,571,28.9,6484,2.46,1763,2187,1011,1003,379,114,27,1.86,476,1665,3122,894,200,127,119858,143,244,342,281,295,339,379,641,638,602,812,1768
Conway,1897,1809,3,7,11,28,2,1,36,924,973,94,316,118,122,251,366,385,162,83,46,1895,2,1803,1764,39,34,3,2,0,1523,748,775,1065,777,130,11,0,0,0,0,0,3,3,22,7,112,29,770,2.46,181,289,129,129,24,14,4,2.12,31,157,329,207,35,11,78309,41,49,58,43,56,30,81,199,115,24,26,48
Cummington,872,844,3,0,1,12,0,3,9,436,436,32,124,43,70,124,180,180,56,63,48,872,0,840,823,17,12,3,2,0,956,499,457,502,361,70,0,0,6,0,0,0,0,0,9,3,53,35.5,404,2.16,143,140,63,38,13,6,1,1.93,10,130,168,77,14,5,60000,15,34,60,43,26,24,51,65,52,9,17,8
Dalton,6756,6469,48,4,53,109,1,4,68,3241,3515,286,1223,470,621,809,1141,987,547,672,45,6654,102,6470,6267,203,120,36,24,23,5364,2550,2814,3171,2576,293,0,0,0,0,0,0,12,0,98,30,162,18.4,2737,2.43,738,966,451,371,147,48,16,1.86,126,882,1191,357,144,37,57222,108,230,352,274,195,313,462,316,201,38,99,149
Danvers,26493,24839,253,24,498,618,4,34,223,12406,14087,1333,4223,1757,2744,3491,4638,3525,2167,2615,44,25646,847,25160,23171,1989,1365,464,122,38,21501,10112,11389,13932,11758,1058,0,0,110,178,0,0,0,44,133,28,623,24.8,10615,2.42,3104,3490,1692,1494,591,185,59,1.85,654,3386,4455,1381,534,205,75310,386,745,787,658,608,887,1205,1377,1410,630,1023,899
Dartmouth,34032,30802,824,48,642,805,6,326,579,17106,16926,1150,4717,6494,2934,4190,4821,4339,2668,2719,40,28557,5475,32882,25497,7385,4794,1212,1098,281,28257,14071,14186,16365,13238,1339,38,0,0,0,0,9,31,22,371,280,1037,25.3,11237,2.54,2669,3862,1988,1805,632,195,86,1.93,688,2985,4957,1864,560,183,70007,555,1059,855,766,697,844,1383,1659,1266,724,894,535
Dedham,24729,21047,1268,46,632,1353,4,74,305,11958,12771,1325,3816,1669,2798,3392,4015,3165,1929,2620,43,23657,1072,23404,20315,3089,2250,579,181,79,19878,9674,10204,11622,8569,891,145,79,306,727,10,12,0,40,364,132,347,28.7,9651,2.45,2768,3182,1518,1350,560,183,90,1.72,634,3518,4000,1053,341,105,80865,365,655,469,697,617,566,1139,1311,1181,868,902,881
Deerfield,5125,4781,34,1,96,132,1,3,77,2508,2617,224,849,316,471,698,874,903,440,350,45,4793,332,4901,4637,264,248,16,0,0,4077,1874,2203,2730,2135,145,0,0,0,0,0,0,0,0,145,21,284,22.3,2053,2.33,539,816,329,250,87,27,5,1.83,113,710,748,371,110,1,61912,106,141,154,132,257,211,203,306,270,82,113,78
